"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"DateTime"	"wqx.id"	"Depth"	"temp"	"buoy"	"year4"	"month"	"daynum"	"flag_wtemp"
"1993-05-25"	"WIDNR_WQX-10001207"	"4"	"14.3"	"FALSE"	"1993"	"5"	"145"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"4"	"23.6"	"FALSE"	"1993"	"9"	"244"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"22"	"11.4"	"FALSE"	"1993"	"9"	"244"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"14"	"14.9"	"FALSE"	"1993"	"9"	"244"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"8"	"1.5"	"FALSE"	"1993"	"1"	"25"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"0"	"23.6"	"FALSE"	"1993"	"9"	"244"	NA
"1993-11-22"	"WIDNR_WQX-10001207"	"0"	"6.2"	"FALSE"	"1993"	"11"	"326"	NA
"1993-11-08"	"WIDNR_WQX-10001207"	"4"	"7.8"	"FALSE"	"1993"	"11"	"312"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"16"	"13.5"	"FALSE"	"1993"	"9"	"244"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"20"	"11.5"	"FALSE"	"1993"	"9"	"244"	NA
"1993-11-08"	"WIDNR_WQX-10001207"	"0"	"7.8"	"FALSE"	"1993"	"11"	"312"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"8"	"23.3"	"FALSE"	"1993"	"9"	"244"	NA
"1993-09-27"	"WIDNR_WQX-10001207"	"4"	"16.5"	"FALSE"	"1993"	"9"	"270"	NA
"1993-09-14"	"WIDNR_WQX-10001207"	"4"	"19.8"	"FALSE"	"1993"	"9"	"257"	NA
"1993-12-08"	"WIDNR_WQX-10001207"	"4"	"3.8"	"FALSE"	"1993"	"12"	"342"	NA
"1993-10-25"	"WIDNR_WQX-10001207"	"0"	"12.4"	"FALSE"	"1993"	"10"	"298"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"4"	"2.2"	"FALSE"	"1993"	"2"	"53"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"0"	"4.3"	"FALSE"	"1993"	"4"	"112"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"20"	"4.2"	"FALSE"	"1993"	"4"	"112"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"8"	"4.2"	"FALSE"	"1993"	"4"	"112"	NA
"1993-12-08"	"WIDNR_WQX-10001207"	"0"	"3.8"	"FALSE"	"1993"	"12"	"342"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"16"	"2.5"	"FALSE"	"1993"	"2"	"53"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"12"	"17.1"	"FALSE"	"1993"	"9"	"244"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"20"	"2.8"	"FALSE"	"1993"	"2"	"53"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"20"	"2.4"	"FALSE"	"1993"	"1"	"25"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"8"	"2.3"	"FALSE"	"1993"	"2"	"53"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"1"	"0.9"	"FALSE"	"1993"	"1"	"25"	NA
"1993-05-25"	"WIDNR_WQX-10001207"	"0"	"14.5"	"FALSE"	"1993"	"5"	"145"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"16"	"4.2"	"FALSE"	"1993"	"4"	"112"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"16"	"2.1"	"FALSE"	"1993"	"1"	"25"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"12"	"2.4"	"FALSE"	"1993"	"2"	"53"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"4"	"4.2"	"FALSE"	"1993"	"4"	"112"	NA
"1993-04-12"	"WIDNR_WQX-10001207"	"4"	"3.2"	"FALSE"	"1993"	"4"	"102"	NA
"1993-09-14"	"WIDNR_WQX-10001207"	"0"	"19.8"	"FALSE"	"1993"	"9"	"257"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"4"	"1.3"	"FALSE"	"1993"	"1"	"25"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"18"	"12.1"	"FALSE"	"1993"	"9"	"244"	NA
"1993-09-01"	"WIDNR_WQX-10001207"	"10"	"21.2"	"FALSE"	"1993"	"9"	"244"	NA
"1993-10-25"	"WIDNR_WQX-10001207"	"104"	"12.4"	"FALSE"	"1993"	"10"	"298"	NA
"1993-11-22"	"WIDNR_WQX-10001207"	"4"	"6.2"	"FALSE"	"1993"	"11"	"326"	NA
"1993-04-12"	"WIDNR_WQX-10001207"	"0"	"3.4"	"FALSE"	"1993"	"4"	"102"	NA
"1993-01-25"	"WIDNR_WQX-10001207"	"12"	"1.7"	"FALSE"	"1993"	"1"	"25"	NA
"1993-02-22"	"WIDNR_WQX-10001207"	"1"	"2"	"FALSE"	"1993"	"2"	"53"	NA
"1993-09-27"	"WIDNR_WQX-10001207"	"0"	"16.4"	"FALSE"	"1993"	"9"	"270"	NA
"1993-04-22"	"WIDNR_WQX-10001207"	"12"	"4.2"	"FALSE"	"1993"	"4"	"112"	NA
"1992-11-23"	"WIDNR_WQX-10001207"	"0"	"6.1"	"FALSE"	"1992"	"11"	"328"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"16"	"9.5"	"FALSE"	"1992"	"6"	"160"	NA
"1992-04-13"	"WIDNR_WQX-10001207"	"20"	"5.1"	"FALSE"	"1992"	"4"	"104"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"12"	"2.6"	"FALSE"	"1992"	"2"	"55"	NA
"1992-10-26"	"WIDNR_WQX-10001207"	"4"	"12.2"	"FALSE"	"1992"	"10"	"300"	NA
"1992-10-26"	"WIDNR_WQX-10001207"	"0"	"12.2"	"FALSE"	"1992"	"10"	"300"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"8"	"2.6"	"FALSE"	"1992"	"2"	"55"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"12"	"10.8"	"FALSE"	"1992"	"6"	"160"	NA
"1992-04-13"	"WIDNR_WQX-10001207"	"8"	"5.1"	"FALSE"	"1992"	"4"	"104"	NA
"1992-09-14"	"WIDNR_WQX-10001207"	"4"	"19"	"FALSE"	"1992"	"9"	"258"	NA
"1992-11-23"	"WIDNR_WQX-10001207"	"4"	"6.1"	"FALSE"	"1992"	"11"	"328"	NA
"1992-09-14"	"WIDNR_WQX-10001207"	"0"	"19"	"FALSE"	"1992"	"9"	"258"	NA
"1992-01-21"	"WIDNR_WQX-10001207"	"12"	"1.6"	"FALSE"	"1992"	"1"	"21"	NA
"1992-03-30"	"WIDNR_WQX-10001207"	"4"	"4"	"FALSE"	"1992"	"3"	"90"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"4"	"2.6"	"FALSE"	"1992"	"2"	"55"	NA
"1992-12-07"	"WIDNR_WQX-10001207"	"0"	"2.9"	"FALSE"	"1992"	"12"	"342"	NA
"1992-12-07"	"WIDNR_WQX-10001207"	"4"	"2.9"	"FALSE"	"1992"	"12"	"342"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"4"	"19.2"	"FALSE"	"1992"	"6"	"160"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"20"	"3"	"FALSE"	"1992"	"2"	"55"	NA
"1992-01-21"	"WIDNR_WQX-10001207"	"16"	"1.7"	"FALSE"	"1992"	"1"	"21"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"10"	"13.2"	"FALSE"	"1992"	"6"	"160"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"1"	"2"	"FALSE"	"1992"	"2"	"55"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"14"	"9.9"	"FALSE"	"1992"	"6"	"160"	NA
"1992-01-21"	"WIDNR_WQX-10001207"	"4"	"1.4"	"FALSE"	"1992"	"1"	"21"	NA
"1992-01-21"	"WIDNR_WQX-10001207"	"0"	"1"	"FALSE"	"1992"	"1"	"21"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"0"	"19.7"	"FALSE"	"1992"	"6"	"160"	NA
"1992-03-30"	"WIDNR_WQX-10001207"	"0"	"4"	"FALSE"	"1992"	"3"	"90"	NA
"1992-02-24"	"WIDNR_WQX-10001207"	"16"	"2.7"	"FALSE"	"1992"	"2"	"55"	NA
"1992-06-08"	"WIDNR_WQX-10001207"	"20"	"8.9"	"FALSE"	"1992"	"6"	"160"	NA
"1992-07-23"	"USGS-05427968"	"0.4572"	"20.7"	"FALSE"	"1992"	"7"	"205"	NA
"1992-07-23"	"USGS-05427968"	"24.5364"	"9.9"	"FALSE"	"1992"	"7"	"205"	NA
"1994-05-12"	"WIDNR_WQX-10001207"	"16"	"9.9"	"FALSE"	"1994"	"5"	"132"	NA
"1994-01-24"	"WIDNR_WQX-10001207"	"20"	"2.2"	"FALSE"	"1994"	"1"	"24"	NA
"1994-01-24"	"WIDNR_WQX-10001207"	"16"	"1.5"	"FALSE"	"1994"	"1"	"24"	NA
"1994-04-25"	"WIDNR_WQX-10001207"	"4"	"7.9"	"FALSE"	"1994"	"4"	"115"	NA
"1994-01-24"	"WIDNR_WQX-10001207"	"12"	"1.2"	"FALSE"	"1994"	"1"	"24"	NA
"1994-04-11"	"WIDNR_WQX-10001207"	"16"	"4.4"	"FALSE"	"1994"	"4"	"101"	NA
"1994-03-01"	"WIDNR_WQX-10001207"	"4"	"1.4"	"FALSE"	"1994"	"3"	"60"	NA
"1994-03-01"	"WIDNR_WQX-10001207"	"20"	"1.4"	"FALSE"	"1994"	"3"	"60"	NA
"1994-04-11"	"WIDNR_WQX-10001207"	"20"	"4.2"	"FALSE"	"1994"	"4"	"101"	NA
"1994-05-12"	"WIDNR_WQX-10001207"	"4"	"10.7"	"FALSE"	"1994"	"5"	"132"	NA
"1994-05-12"	"WIDNR_WQX-10001207"	"0"	"11.8"	"FALSE"	"1994"	"5"	"132"	NA
"1994-01-24"	"WIDNR_WQX-10001207"	"1"	"1"	"FALSE"	"1994"	"1"	"24"	NA
